Krokus 	 Screaming in the Night 	
Led Zeppelin 	 Immigrant Song 	
Rush 	 Spirit of Radio 	
The Stooges 	 Real Cool Time 	
Thin Lizzy 	 Waiting for an Alibi 	
MC5 	 Shakin' Street 	
Krokus 	 Bedside Radio 	
Alice Cooper 	 Elected 	
Blue Cheer 	 Love Like a Man 	
Blue Öyster Cult 	 Godzilla 	
Deep Purple 	 Perfect Strangers 	
Flower Travellin' Band 	 Little Games 	
Hawkwind 	 Brainstorm 	
Jimi Hendrix 	 Hey Joe 	
King Crimson 	 Larks' Tongues in Aspic 	
Led Zeppelin 	 Black Dog 	
Rush 	 The Spirit of the Radio 	
The Stooges 	 Gimme Danger 	
Thin Lizzy 	 Emerald 	
MC5 	 Starship 	
Krokus 	 Fire 	
Black Sabbath 	 Sabbath Bloody Sabbath 	
Alice Cooper 	 Muscle of Love 	
Blue Cheer 	 Ride with Me 	
Blue Öyster Cult 	 Astronomy 	
Deep Purple 	 Lazy 	
Flower Travellin' Band 	 Make Up Part III 	
Hawkwind 	 Space Is Deep 	
Jimi Hendrix 	 Little Wing 	
King Crimson 	 Starless 	
Led Zeppelin 	 Ramble On 	
Rush 	2112	
The Stooges 	 No Fun 	
Thin Lizzy 	 Fighting 	
MC5 	 Teenage Lust 	
Krokus 	 Rock City 	
Black Sabbath 	 N.I.B. 	
Alice Cooper 	 Clones (We're All) 	
Blue Cheer 	 I'm the Light 	
Blue Öyster Cult 	 Flaming Telepaths 	
Deep Purple 	 Burn 	
Flower Travellin' Band 	 A Day in the Life 	
Hawkwind 	 Wind of Change 	
Jimi Hendrix 	 Castles Made of Sand 	
King Crimson 	 One More Red Nightmare 	
Led Zeppelin 	 Misty Mountain Hop 	
Rush 	 By	 https://youtu.be/xyz100
The Stooges 	 Shake Appeal 	
Thin Lizzy 	 Don’t Believe a Word 	
MC5 	 Motor City Is Burning 	
Krokus 	 Heatstrokes 	
Black Sabbath 	 Heaven and Hell 	
Alice Cooper 	 Under My Wheels 	
Blue Cheer 	 Summertime Blues (Studio) 	
Blue Öyster Cult 	 Burnin' for You (Studio) 	
Deep Purple 	 Space Truckin' 	
Flower Travellin' Band 	 Piece of My Heart 	
Hawkwind 	 Sonic Attack 	
Jimi Hendrix 	 Crosstown Traffic 	
King Crimson 	 Red 	
Led Zeppelin 	 Dazed and Confused 	
Rush 	 Red Barchetta 	
The Stooges 	 Loose 	
Thin Lizzy 	 Cowboy Song 	
MC5 	 Ramblin' Rose (Live Version) 	
Krokus 	 American Woman (Live) 	
Black Sabbath 	 Black Sabbath 	
Alice Cooper 	 Killer 	
Blue Cheer 	 Summertime Blues (Remix) 	
Blue Öyster Cult 	 Godzilla (Live) 	
Deep Purple 	 Hush 	
Flower Travellin' Band 	 Lullaby 	
Hawkwind 	 Master of the Universe (Extended Version) 	
Jimi Hendrix 	 Freedom 	
King Crimson 	 Lament 	
Led Zeppelin 	 Since I’ve Been Loving You 	
Rush 	 Xanadu 	
The Stooges 	 Fun House 	
Thin Lizzy 	 Emerald (Alternate Version) 	
MC5 	 Ramblin' Rose (Alternate Version) 	
Krokus 	 Long Stick Goes Boom (Alternate Version) 	
Black Sabbath 	 Children of the Grave (Alternate Version) 	
Alice Cooper 	 Elected (Alternate Version) 	
Blue Cheer 	 Doctor Please (Alternate Version) 	
Blue Öyster Cult 	 Burnin' for You (Alternate Version) 	
Deep Purple 	 Highway Star (Alternate Version) 	
Flower Travellin' Band 	 Make Up Part IV 	
Hawkwind 	 Space Is Deep (Alternate Version) 	
Jimi Hendrix 	 Voodoo Child (Alternate Version) 	
King Crimson 	 Epitaph (Alternate Version) 	
Led Zeppelin 	 Whole Lotta Love (Alternate Version) 	
Rush 	 Limelight (Alternate Version) 	
The Stooges 	 Search and Destroy (Alternate Version) 	
Thin Lizzy 	 The Boys Are Back in Town (Alternate Version) 	
MC5 	 Kick Out the Jams (Alternate Version) 	
Krokus 	 Headhunter (Alternate Version) 	
Black Sabbath 	 Paranoid (Alternate Version) 	
Alice Cooper 	 No More Mr. Nice Guy (Alternate Version) 	
Blue Cheer 	 Love Like a Man (Alternate Version) 	
Blue Öyster Cult 	 Don't Fear the Reaper (Alternate Version) 	
Deep Purple 	 Smoke on the Water (Alternate Version) 	
Flower Travellin' Band 	 Satori Part V 	
Hawkwind 	 Master of the Universe (Mega Mix) 	
Jimi Hendrix 	 Freedom (Remix) 	
King Crimson 	 Lament (Remix) 	
Led Zeppelin 	 Since I’ve Been Loving You (Remix) 	
Rush 	 Xanadu (Remix) 	
The Stooges 	 Fun House (Extended) 	
Thin Lizzy 	 Emerald (Extended) 	
MC5 	 Ramblin' Rose (Extended Remix) 	
Krokus 	 Long Stick Goes Boom (Extended) 	
Black Sabbath 	 Children of the Grave (Extended) 	
Alice Cooper 	 Elected (Extended) 	
Blue Cheer 	 Doctor Please (Extended) 	
Blue Öyster Cult 	 Burnin' for You (Mega Mix) 	
Deep Purple 	 Highway Star (Extended) 	
Flower Travellin' Band 	 Make Up Part VI 	
Hawkwind 	 Space Is Deep (Mega Mix) 	
Jimi Hendrix 	 Voodoo Child (Mega Mix) 	
King Crimson 	 Epitaph (Extended) 	
Led Zeppelin 	 Whole Lotta Love (Mega Mix) 	
Rush 	 Limelight (Extended) 	
The Stooges 	 Search and Destroy (Mega Mix) 	
Thin Lizzy 	 The Boys Are Back in Town (Extended) 	
MC5 	 Kick Out the Jams (Mega Mix) 	
Krokus 	 Headhunter (Remix) 	
Black Sabbath 	 Paranoid (Remix) 	
Alice Cooper 	 No More Mr. Nice Guy (Remix) 	
Blue Cheer 	 Love Like a Man (Remix) 	
Blue Öyster Cult 	 Don't Fear the Reaper (Extended) 	
Deep Purple 	 Smoke on the Water (Extended) 	
Flower Travellin' Band 	 Satori Part VI 	
Hawkwind 	 Silver Machine (Extended) 	
Jimi Hendrix 	 All Along the Watchtower (Extended) 	
King Crimson 	 In the Court of the Crimson King (Remix) 	
Led Zeppelin 	 Immigrant Song (Extended) 	
Rush 	 Spirit of Radio (Extended) 	
The Stooges 	 Real Cool Time (Remix) 	
Thin Lizzy 	 Waiting for an Alibi (Remix) 	
MC5 	 Shakin' Street (Remix) 	
Krokus 	 Rock City (Remix) 	
Black Sabbath 	 N.I.B. (Remix) 	
Alice Cooper 	 Muscle of Love (Remix) 	
Blue Cheer 	 I'm the Light (Remix) 	
Blue Öyster Cult 	 Astronomy (Remix) 	
Deep Purple 	 Hush (Remix) 	
Flower Travellin' Band 	 Lullaby (Remix) 	
Hawkwind 	 Lord of Light (Remix) 	
Jimi Hendrix 	 Bold as Love (Remix) 	
King Crimson 	 Red (Remix) 	
Led Zeppelin 	 Black Dog (Remix) 	
Rush 	 2112 Overture (Live Version) 	
The Stooges 	 No Fun (Remix) 	
Thin Lizzy 	 Fighting (Remix) 	
MC5 	 Teenage Lust (Remix) 	
Krokus 	 Fire (Extended) 	
Black Sabbath 	 Sabbath Bloody Sabbath (Extended) 	
Alice Cooper 	 Billion Dollar Babies (Extended) 	
Blue Cheer 	 Out of Focus (Extended) 	
Blue Öyster Cult 	 Flaming Telepaths (Extended) 	
Deep Purple 	 Lazy (Extended) 	
Flower Travellin' Band 	 Satori Part VII 	
Hawkwind 	 Master of the Universe (Mega Mix 2) 	
Jimi Hendrix 	 Freedom (Alternate Mix) 	
King Crimson 	 Lament (Alternate Mix) 	
Led Zeppelin 	 Since I’ve Been Loving You (Alternate Mix) 	
Rush 	 Xanadu (Alternate Mix) 	
The Stooges 	 Fun House (Alternate Mix) 	
Thin Lizzy 	 Emerald (Alternate Mix) 	
MC5 	 Ramblin' Rose (Alternate Mix) 	
Krokus 	 Long Stick Goes Boom (Alternate Mix) 	
Black Sabbath 	 Children of the Grave (Alternate Mix) 	
Alice Cooper 	 Elected (Alternate Mix) 	
Blue Cheer 	 Doctor Please (Alternate Mix) 	
Blue Öyster Cult 	 Burnin' for You (Alternate Mix) 	
Deep Purple 	 Highway Star (Alternate Mix) 	
Flower Travellin' Band 	 Make Up Part VIII 	
Hawkwind 	 Space Is Deep (Mega Mix 2) 	
Jimi Hendrix 	 Voodoo Child (Mega Mix 2) 	
King Crimson 	 Epitaph (Alternate Mix) 	
Led Zeppelin 	 Whole Lotta Love (Mega Mix 2) 	
Rush 	 Limelight (Mega Mix) 	
The Stooges 	 Search and Destroy (Mega Mix 2) 	
Thin Lizzy 	 The Boys Are Back in Town (Mega Mix 2) 	
MC5 	 Kick Out the Jams (Mega Mix 2) 	
Krokus 	 Headhunter (Mega Mix) 	
Black Sabbath 	 Paranoid (Mega Mix) 	
Alice Cooper 	 No More Mr. Nice Guy (Mega Mix) 	
Blue Cheer 	 Love Like a Man (Mega Mix) 	
Blue Öyster Cult 	 Don't Fear the Reaper (Mega Mix) 	
Deep Purple 	 Smoke on the Water (Mega Mix) 	
Flower Travellin' Band 	 Satori Part IX 	
Hawkwind 	 Silver Machine (Mega Mix 2) 	
Jimi Hendrix 	 All Along the Watchtower (Mega Mix 2) 	
King Crimson 	 In the Court of the Crimson King (Mega Mix) 	
Led Zeppelin 	 Immigrant Song (Mega Mix 2) 	
Rush 	 Spirit of Radio (Mega Mix) 	
The Stooges 	 Real Cool Time (Mega Mix) 	
Thin Lizzy 	 Waiting for an Alibi (Mega Mix) 	
MC5 	 Shakin' Street (Mega Mix) 	
Krokus 	 Rock City (Mega Mix) 	
Black Sabbath 	 N.I.B. (Mega Mix) 	
Alice Cooper 	 Muscle of Love (Mega Mix) 	
Blue Cheer 	 I'm the Light (Mega Mix) 	
Blue Öyster Cult 	 Astronomy (Mega Mix) 	
Deep Purple 	 Hush (Mega Mix) 	
Flower Travellin' Band 	 Lullaby (Mega Mix) 	
Hawkwind 	 Lord of Light (Mega Mix 2) 	
Jimi Hendrix 	 Bold as Love (Mega Mix 2) 	
King Crimson 	 Red (Mega Mix) 	
Led Zeppelin 	 Black Dog (Mega Mix 2) 	
Rush 	 2112 Overture (Mega Mix) 	
The Stooges 	 No Fun (Mega Mix) 	
Thin Lizzy 	 Fighting (Mega Mix) 	
MC5 	 Teenage Lust (Mega Mix) 	
Krokus 	 Fire (Mega Mix) 	
Black Sabbath 	 Sabbath Bloody Sabbath (Mega Mix) 	
Alice Cooper 	 Billion Dollar Babies (Mega Mix) 	
Blue Cheer 	 Out of Focus (Mega Mix) 	
Blue Öyster Cult 	 Flaming Telepaths (Mega Mix) 	
Deep Purple 	 Lazy (Mega Mix) 	
Flower Travellin' Band 	 Satori Part X 	
Hawkwind 	 Master of the Universe (Ultimate Mix) 	
Jimi Hendrix 	 Freedom (Ultimate Mix) 	
King Crimson 	 Lament (Ultimate Mix) 	
Led Zeppelin 	 Since I’ve Been Loving You (Ultimate Mix) 	
Rush 	 Xanadu (Ultimate Mix) 	
The Stooges 	 Fun House (Ultimate Mix) 	
Thin Lizzy 	 Emerald (Ultimate Mix) 	
MC5 	 Ramblin' Rose (Ultimate Mix) 	
Krokus 	 Long Stick Goes Boom (Ultimate Mix) 	
Black Sabbath 	 Children of the Grave (Ultimate Mix) 	
Alice Cooper 	 Elected (Ultimate Mix) 	
Blue Cheer 	 Doctor Please (Ultimate Mix) 	
Blue Öyster Cult 	 Burnin' for You (Ultimate Mix) 	
Deep Purple 	 Highway Star (Ultimate Mix) 	
Flower Travellin' Band 	 Make Up Part XI 	
Hawkwind 	 Space Is Deep (Ultimate Mix) 	
Jimi Hendrix 	 Voodoo Child (Ultimate Mix) 	
King Crimson 	 Epitaph (Ultimate Mix) 	
Led Zeppelin 	 Whole Lotta Love (Ultimate Mix) 	
Rush 	 Limelight (Ultimate Mix) 	
The Stooges 	 Search and Destroy (Ultimate Mix) 	
Thin Lizzy 	 The Boys Are Back in Town (Ultimate Mix) 	
MC5 	 Kick Out the Jams (Ultimate Mix) 	
Krokus 	 Headhunter (Ultimate Mix) 	
Black Sabbath 	 Paranoid (Ultimate Mix) 	
Krokus 	 Rock City (Live Version) 	
Black Sabbath 	 Heaven and Hell 	
Alice Cooper 	 Elected 	
Blue Cheer 	 Summertime Blues 	
Blue Öyster Cult 	 Godzilla 	
Deep Purple 	 Highway Star 	
Flower Travellin' Band 	 Make Up 	
Hawkwind 	 Master of the Universe 	
Jimi Hendrix 	 Voodoo Child 	
King Crimson 	 21st Century Schizoid Man 	
Led Zeppelin 	 Immigrant Song 	
Rush 	 Tom Sawyer 	
The Stooges 	 Search and Destroy 	
Thin Lizzy 	 Jailbreak 	
MC5 	 Kick Out the Jams 	
Nazareth 	 Hair of the Dog 	
Lucifer's Friend 	 Ride the Sky 	
Atomic Rooster 	 Tomorrow Night 	
Diamond Head 	 Am I Evil? 	
Saxon 	 Wheels of Steel 	
Krokus 	 Screaming in the Night 	
Black Sabbath 	 Paranoid 	
Alice Cooper 	 School's Out 	
Blue Cheer 	 Doctor Please 	
Blue Öyster Cult 	 Burnin' for You 	
Deep Purple 	 Smoke on the Water 	
Flower Travellin' Band 	 Hiroshima 	
Hawkwind 	 Silver Machine 	
Jimi Hendrix 	 Purple Haze 	
King Crimson 	 Epitaph 	
Led Zeppelin 	 Stairway to Heaven 	
Rush 	 Limelight 	
The Stooges 	 I Wanna Be Your Dog 	
Thin Lizzy 	 The Boys Are Back in Town 	
MC5 	 Ramblin' Rose 	
Nazareth 	 Love Hurts 	
Lucifer's Friend 	 Free Me 	
Atomic Rooster 	 Devil's Answer 	
Diamond Head 	 The Prince 	
Saxon 	 20,000 Ft 	
Krokus 	 Headhunter 	
Black Sabbath 	 Iron Man 	
Alice Cooper 	 No More Mr. Nice Guy 	
Blue Cheer 	 Out of Focus 	
Blue Öyster Cult 	 Don't Fear the Reaper 	
Deep Purple 	 Child in Time 	
Flower Travellin' Band 	 Make Up Part II 	
Hawkwind 	 Lord of Light 	
Jimi Hendrix 	 All Along the Watchtower 	
King Crimson 	 In the Court of the Crimson King 	
Led Zeppelin 	 Whole Lotta Love 	
Rush 	 Spirit of Radio 	
The Stooges 	 Fun House 	
Thin Lizzy 	 Dancing in the Moonlight 	
MC5 	 Looking at You 	
Nazareth 	 Hair of the Dog (Live) 	
Lucifer's Friend 	 Moonshine Rider 	
Atomic Rooster 	 Death Walks Behind You 	
Diamond Head 	 Helpless 	
Saxon 	 Strong Arm of the Law 	
Krokus 	 Long Stick Goes Boom 	
Black Sabbath 	 Children of the Grave 	
Alice Cooper 	 I'm Eighteen 	
Blue Cheer 	 Parchment Farm 	
Blue Öyster Cult 	 Cities on Flame with Rock and Roll 	
Deep Purple 	 Lazy 	
Flower Travellin' Band 	 Satori Part I 	
Hawkwind 	 Hurry on Sundown 	
Jimi Hendrix 	 Fire 	
King Crimson 	 Starless 	
Led Zeppelin 	 Kashmir 	
Rush 	2112	
The Stooges 	 Real Cool Time 	
Thin Lizzy 	 Cowboy Song 	
MC5 	 Shakin' Street 	
Nazareth 	 Expect No Mercy 	
Lucifer's Friend 	 Ride the Sky (Live) 	
Atomic Rooster 	 In Hearing Of 	
Diamond Head 	 Am I Evil? (Live) 	
Saxon 	 Denim and Leather 	
Krokus 	 Bedside Radio 	
Black Sabbath 	 War Pigs 	
Alice Cooper 	 Elected (Live) 	
Blue Cheer 	 I'm the Light 	
Blue Öyster Cult 	 Godzilla (Live) 	
Deep Purple 	 Space Truckin' 	
Flower Travellin' Band 	 Make Up Part III 	
Hawkwind 	 Brainstorm 	
Jimi Hendrix 	 Hey Joe 	
King Crimson 	 Larks' Tongues in Aspic 	
Led Zeppelin 	 Black Dog 	
Rush 	 Limelight (Live) 	
The Stooges 	 Gimme Danger 	
Thin Lizzy 	 Emerald 	
MC5 	 Starship 	
Nazareth 	 Bad Bad Boy 	
Lucifer's Friend 	 Free Me (Live) 	
Atomic Rooster 	 Tomorrow Night (Live) 	
Diamond Head 	 Helpless (Live) 	
Saxon 	 Wheels of Steel (Live) 	
Krokus 	 American Woman 	
Black Sabbath 	 Fairies Wear Boots 	
Alice Cooper 	 Billion Dollar Babies 	
Blue Cheer 	 Love Like a Man 	
Blue Öyster Cult 	 Burnin' for You 	
Deep Purple 	 Perfect Strangers 	
Flower Travellin' Band 	 Little Games 	
Hawkwind 	 Master of the Universe (Live) 	
Jimi Hendrix 	 The Wind Cries Mary 	
King Crimson 	 Epitaph 	
Led Zeppelin 	 Rock and Roll 	
Rush 	 Fly by Night 	
The Stooges 	 Dirt 	
Thin Lizzy 	 Don’t Believe a Word 	
MC5 	 Motor City Is Burning 	
Nazareth 	 Razamanaz 	
Lucifer's Friend 	 Saturn 	
Atomic Rooster 	 Devil’s Answer (Live) 	
Diamond Head 	 The Prince (Live) 	
Saxon 	 20,000 Ft (Live) 	
Krokus 	 Fire 	
Black Sabbath 	 Sabbath Bloody Sabbath 	
Alice Cooper 	 Killer 	
Blue Cheer 	 Ride with Me 	
Blue Öyster Cult 	 Astronomy 	
Deep Purple 	 Hush 	
Flower Travellin' Band 	 Satori Part II 	
Hawkwind 	 Space Is Deep 	
Jimi Hendrix 	 Bold as Love 	
King Crimson 	 Red 	
Led Zeppelin 	 Dazed and Confused 	
Rush 	 By	 https://youtu.be/xyz432
The Stooges 	 Shake Appeal 	
Thin Lizzy 	 Waiting for an Alibi 	
MC5 	 Teenage Lust 	
Nazareth 	 This Flight Tonight 	
Lucifer's Friend 	 Ride the Sky (Extended) 	
Atomic Rooster 	 In Hearing Of (Live) 	
Diamond Head 	 Am I Evil? (Extended) 	
Saxon 	 Strong Arm of the Law (Live) 	
Krokus 	 Bedside Radio (Live) 	
Black Sabbath 	 Iron Man (Live) 	
Alice Cooper 	 Under My Wheels 	
Blue Cheer 	 Summertime Blues (Remix) 	
Blue Öyster Cult 	 Godzilla (Extended) 	
Deep Purple 	 Smoke on the Water (Remix) 	
Flower Travellin' Band 	 Make Up Part III (Live) 	
Hawkwind 	 Lord of Light (Remix) 	
Jimi Hendrix 	 Castles Made of Sand 	
King Crimson 	 One More Red Nightmare 	
Led Zeppelin 	 Misty Mountain Hop 	
Rush 	 The Trees 	
The Stooges 	 I Need Somebody 	
Thin Lizzy 	 Black Rose 	
MC5 	 Looking at You (Live) 	
Nazareth 	 Love Hurts (Extended) 	
Lucifer's Friend 	 Free Me (Remix) 	
Atomic Rooster 	 Tomorrow Night (Remix) 	
Diamond Head 	 Helpless (Extended) 	
Saxon 	 Wheels of Steel (Remix) 	
Krokus 	 American Woman 	
Black Sabbath 	 Fairies Wear Boots 	
Alice Cooper 	 Billion Dollar Babies 	
Blue Cheer 	 Love Like a Man 	
Blue Öyster Cult 	 Burnin' for You 	
Deep Purple 	 Perfect Strangers 	
Flower Travellin' Band 	 Little Games 	
Hawkwind 	 Master of the Universe (Live) 	
Jimi Hendrix 	 The Wind Cries Mary 	
King Crimson 	 Epitaph 	
Led Zeppelin 	 Rock and Roll 	
Rush 	 Fly by Night 	
The Stooges 	 Dirt 	
Thin Lizzy 	 Don’t Believe a Word 	
MC5 	 Motor City Is Burning 	
Nazareth 	 Razamanaz 	
Lucifer's Friend 	 Saturn 	
Atomic Rooster 	 Devil’s Answer (Live) 	
Diamond Head 	 The Prince (Live) 	
Saxon 	 20,000 Ft (Live) 	
UFO 	 Doctor Doctor 	
Budgie 	 Breadfan 	
Captain Beyond 	 Starglow 	
Trapeze 	 Black Cloud 	
Angel Witch 	 Angel Witch 	
Krokus 	 Fire 	
Black Sabbath 	 Sabbath Bloody Sabbath 	
Alice Cooper 	 Killer 	
Blue Cheer 	 Ride with Me 	
Blue Öyster Cult 	 Astronomy 	
Deep Purple 	 Hush 	
Flower Travellin' Band 	 Satori Part II 	
Hawkwind 	 Space Is Deep 	
Jimi Hendrix 	 Bold as Love 	
King Crimson 	 Red 	
Led Zeppelin 	 Dazed and Confused 	
Rush 	 By	 https://youtu.be/xyz537
The Stooges 	 Shake Appeal 	
Thin Lizzy 	 Waiting for an Alibi 	
MC5 	 Teenage Lust 	
Nazareth 	 This Flight Tonight 	
Lucifer's Friend 	 Ride the Sky (Extended) 	
Atomic Rooster 	 In Hearing Of (Live) 	
Diamond Head 	 Am I Evil? (Extended) 	
Saxon 	 Wheels of Steel (Remix) 	
UFO 	 Rock Bottom 	
Budgie 	 Zoom Club 	
Captain Beyond 	 Armworth 	
Trapeze 	 Your Love Is Alright 	
Angel Witch 	 White Witch 	
Krokus 	 Bedside Radio (Live) 	
Black Sabbath 	 Iron Man (Live) 	
Alice Cooper 	 Under My Wheels 	
Blue Cheer 	 Summertime Blues (Remix) 	
Blue Öyster Cult 	 Godzilla (Extended) 	
Deep Purple 	 Smoke on the Water (Remix) 	
Flower Travellin' Band 	 Make Up Part III (Live) 	
Hawkwind 	 Lord of Light (Remix) 	
Jimi Hendrix 	 Castles Made of Sand 	
King Crimson 	 One More Red Nightmare 	
Led Zeppelin 	 Misty Mountain Hop 	
Rush 	 The Trees 	
The Stooges 	 I Need Somebody 	
Thin Lizzy 	 Black Rose 	
MC5 	 Looking at You (Live) 	
Nazareth 	 Love Hurts (Extended) 	
Lucifer's Friend 	 Free Me (Remix) 	
Atomic Rooster 	 Tomorrow Night (Remix) 	
Diamond Head 	 Helpless (Extended) 	
Saxon 	 Strong Arm of the Law (Live) 	
UFO 	 Lights Out 	
Budgie 	 In for the Kill 	
Captain Beyond 	 Mesmerization Eclipse 	
Trapeze 	 Coats of Steel 	
Angel Witch 	 Satan's Claw 	
Krokus 	 American Woman (Live) 	
Black Sabbath 	 Black Sabbath 	
Alice Cooper 	 Killer (Live) 	
Blue Cheer 	 Out of Focus (Live) 	
Blue Öyster Cult 	 Flaming Telepaths (Live) 	
Deep Purple 	 Lazy (Live) 	
Flower Travellin' Band 	 Satori Part III 	
Hawkwind 	 Master of the Universe (Remix) 	
Jimi Hendrix 	 Freedom 	
King Crimson 	 Lament 	
Led Zeppelin 	 Since I’ve Been Loving You 	
Rush 	 Xanadu 	
The Stooges 	 Fun House (Live) 	
Thin Lizzy 	 Emerald (Live) 	
MC5 	 Ramblin' Rose (Remix) 	
Nazareth 	 Hair of the Dog 	
Lucifer's Friend 	 Moonshine Rider 	
Atomic Rooster 	 Death Walks Behind You 	
Diamond Head 	 Shoot Out the Lights 	
Saxon 	 Denim and Leather 	
UFO 	 High Flyer 	
Budgie 	 Rocking Chair 	
Captain Beyond 	 Dancing Madly Backwards 	
Trapeze 	 Midnight Flyer 	
Angel Witch 	 Angel Witch (Live) 	
Krokus 	 Screaming in the Night 	
Black Sabbath 	 Iron Man 	
Alice Cooper 	 School's Out 	
Blue Cheer 	 Summertime Blues 	
Blue Öyster Cult 	 Don't Fear the Reaper 	
Deep Purple 	 Smoke on the Water 	
Flower Travellin' Band 	 Satori Part I 	
Hawkwind 	 Silver Machine 	
Jimi Hendrix 	 Purple Haze 	
King Crimson 	 21st Century Schizoid Man 	
Led Zeppelin 	 Stairway to Heaven 	
Rush 	 Tom Sawyer 	
The Stooges 	 I Wanna Be Your Dog 	
Thin Lizzy 	 The Boys Are Back in Town 	
MC5 	 Kick Out the Jams 	
Nazareth 	 Razamanaz 	
Lucifer's Friend 	 Saturn 	
Atomic Rooster 	 Devil’s Answer 	
Diamond Head 	 The Prince 	
Saxon 	 20,000 Ft 	
UFO 	 Doctor Doctor 	
Budgie 	 Breadfan 	
Captain Beyond 	 Starglow 	
Trapeze 	 Black Cloud 	
Angel Witch 	 Angel Witch 	
Judas Priest 	 Rocka Rolla 	
Judas Priest 	 Run of the Mill 	
Judas Priest 	 Victim of Changes 	
Judas Priest 	 The Ripper 	
Judas Priest 	 Epitaph 	
Judas Priest 	 Sinner 	
Judas Priest 	 Diamonds & Rust 	
Judas Priest 	 Starbreaker 	
Judas Priest 	 Exciter 	
Judas Priest 	 Beyond the Realms of Death 	
Judas Priest 	 Saints in Hell 	
Krokus 	 Headhunter 	
Black Sabbath 	 Paranoid 	
Alice Cooper 	 No More Mr. Nice Guy 	
Blue Cheer 	 Doctor Please 	
Blue Öyster Cult 	 Burnin' for You 	
Deep Purple 	 Highway Star 	
Flower Travellin' Band 	 Make Up 	
Hawkwind 	 Master of the Universe 	
Jimi Hendrix 	 Voodoo Child (Slight Return) 	
King Crimson 	 Epitaph (Live) 	
Led Zeppelin 	 Whole Lotta Love 	
Rush 	 Limelight 	
The Stooges 	 Search and Destroy 	
Thin Lizzy 	 Jailbreak 	
MC5 	 Ramblin' Rose 	
Nazareth 	 This Flight Tonight 	
Lucifer's Friend 	 Free Me 	
Atomic Rooster 	 Tomorrow Night 	
Diamond Head 	 Am I Evil? 	
Saxon 	 Wheels of Steel 	
UFO 	 Rock Bottom 	
Budgie 	 Zoom Club 	
Captain Beyond 	 Armworth 	
Trapeze 	 Your Love Is Alright 	
Angel Witch 	 White Witch 	
Krokus 	 Long Stick Goes Boom 	
Black Sabbath 	 Children of the Grave 	
Alice Cooper 	 I'm Eighteen 	
Blue Cheer 	 Out of Focus 	
Blue Öyster Cult 	 Cities on Flame with Rock and Roll 	
Deep Purple 	 Child in Time 	
Flower Travellin' Band 	 Hiroshima 	
Hawkwind 	 Hurry on Sundown 	
Jimi Hendrix 	 Fire 	
King Crimson 	 The Court of the Crimson King 	
Led Zeppelin 	 Kashmir 	
Rush 	 YYZ 	
The Stooges 	 Fun House 	
Thin Lizzy 	 Dancing in the Moonlight 	
MC5 	 Looking at You 	
Nazareth 	 Love Hurts 	
Lucifer's Friend 	 Ride the Sky 	
Atomic Rooster 	 In Hearing Of 	
Diamond Head 	 Helpless 	
Saxon 	 Strong Arm of the Law 	
UFO 	 Lights Out 	
Budgie 	 In for the Kill 	
Captain Beyond 	 Dancing Madly Backwards 	
Trapeze 	 Coats of Steel 	
Angel Witch 	 Satan's Claw 	
